Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,34.6,33.2,35.9,33.2 - 35.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,26,25.2,26.9,25.2 - 26.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,United States,With disability,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,61.8,59.7,63.9,59.7 - 63.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,United States,Without disability,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,26.2,25.5,27,25.5 - 27.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,29.9,25.4,34.7,25.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,28.1,24,32.5,24.0 - 32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,34.7,30.7,38.8,30.7 - 38.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,35.1,29.3,41.3,29.3 - 41.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,32.4,29.4,35.4,29.4 - 35.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,30.2,26.5,34.1,26.5 - 34.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,24.9,21,29.2,21.0 - 29.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,32.1,25.9,38.8,25.9 - 38.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,29.7,24.1,35.7,24.1 - 35.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,32.3,29.2,35.5,29.2 - 35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,34.8,29.9,39.9,29.9 - 39.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,30.5,24.2,37.4,24.2 - 37.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,31.9,26.4,37.9,26.4 - 37.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,28.1,24.2,32.3,24.2 - 32.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,28,24,32.3,24.0 - 32.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,27.1,22.8,31.8,22.8 - 31.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,28.2,24.1,32.5,24.1 - 32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,34.6,29.1,40.4,29.1 - 40.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,38.4,33.5,43.6,33.5 - 43.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,26.3,21.4,31.7,21.4 - 31.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,28,24.2,31.9,24.2 - 31.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,29.9,26.4,33.6,26.4 - 33.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,30.9,28,33.9,28.0 - 33.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,26.4,23.3,29.8,23.3 - 29.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,32.5,26.9,38.5,26.9 - 38.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,32,28.1,36.1,28.1 - 36.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,32.1,27,37.5,27.0 - 37.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,28.4,24.2,32.8,24.2 - 32.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,33.1,29.4,37,29.4 - 37.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,30,25.6,34.7,25.6 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,25.6,21.7,29.8,21.7 - 29.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,33.6,29.4,38,29.4 - 38.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,29.6,26,33.4,26.0 - 33.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,29.3,24.5,34.5,24.5 - 34.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,22.9,17.5,29.1,17.5 - 29.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,27.8,22.6,33.5,22.6 - 33.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,39.7,34.8,44.8,34.8 - 44.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,30.5,27.6,33.4,27.6 - 33.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,30.8,27.6,34.1,27.6 - 34.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,31.4,25.2,38.1,25.2 - 38.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,28.9,23.9,34.3,23.9 - 34.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,21.2,16.6,26.4,16.6 - 26.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,33.2,29.3,37.3,29.3 - 37.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,31.9,29,34.9,29.0 - 34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,33,29.9,36.3,29.9 - 36.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,27.8,21.4,34.9,21.4 - 34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,30.3,26.2,34.6,26.2 - 34.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,31.1,28.1,34.2,28.1 - 34.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,34,29,39.3,29.0 - 39.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,27.9,23.5,32.7,23.5 - 32.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,3.2,35,"Aug 4 - Aug 16, 2021",8/4/21,8/16/21,25.4,19.4,32.2,19.4 - 32.2
Symptoms of Depressive Disorder,National Estimate,United States,United States,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,22.6,21.9,23.3,21.9 - 23.3
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,36.7,34.6,39,34.6 - 39.0
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,28.1,26.4,29.9,26.4 - 29.9
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,22.9,21.5,24.5,21.5 - 24.5
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,20.8,19.5,22.2,19.5 - 22.2
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,16,14.8,17.3,14.8 - 17.3
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,10.9,9.6,12.3,9.6 - 12.3
Symptoms of Depressive Disorder,By Age,United States,80 years and above,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,9.8,7.1,13.2,7.1 - 13.2
Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,20.7,19.5,21.8,19.5 - 21.8
Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,24.4,23.6,25.3,23.6 - 25.3
Symptoms of Depressive Disorder,By Gender identity,United States,Cis-gender male,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,20,18.8,21.1,18.8 - 21.1
Symptoms of Depressive Disorder,By Gender identity,United States,Cis-gender female,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,23.7,22.8,24.6,22.8 - 24.6
Symptoms of Depressive Disorder,By Gender identity,United States,Transgender,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,54.3,43,65.3,43.0 - 65.3
Symptoms of Depressive Disorder,By Sexual orientation,United States,Gay or lesbian,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,38.2,34,42.6,34.0 - 42.6
Symptoms of Depressive Disorder,By Sexual orientation,United States,Straight,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,20.1,19.5,20.8,19.5 - 20.8
Symptoms of Depressive Disorder,By Sexual orientation,United States,Bisexual,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,47.1,43,51.2,43.0 - 51.2
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,25.4,23.3,27.6,23.3 - 27.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,21.6,20.9,22.4,20.9 - 22.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,24.8,23,26.7,23.0 - 26.7
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,16.2,13.7,18.8,13.7 - 18.8
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,29.5,25.9,33.3,25.9 - 33.3
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,28.9,25.5,32.6,25.5 - 32.6
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,24.9,23.5,26.3,23.5 - 26.3
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,25.7,24.7,26.7,24.7 - 26.7
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,16.3,15.5,17,15.5 - 17.0
Symptoms of Depressive Disorder,By Disability status,United States,With disability,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,51.8,49.9,53.6,49.9 - 53.6
Symptoms of Depressive Disorder,By Disability status,United States,Without disability,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,18,17.3,18.8,17.3 - 18.8
Symptoms of Depressive Disorder,By State,Alabama,Alabama,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,28.4,23.9,33.4,23.9 - 33.4
Symptoms of Depressive Disorder,By State,Alaska,Alaska,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,25,21.2,29.2,21.2 - 29.2
Symptoms of Depressive Disorder,By State,Arizona,Arizona,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,25.5,21.4,29.8,21.4 - 29.8
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,25.1,20.2,30.6,20.2 - 30.6
Symptoms of Depressive Disorder,By State,California,California,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,22.9,20.3,25.7,20.3 - 25.7
Symptoms of Depressive Disorder,By State,Colorado,Colorado,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,19.5,16.3,23.1,16.3 - 23.1
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,19.2,15.9,22.9,15.9 - 22.9
Symptoms of Depressive Disorder,By State,Delaware,Delaware,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,18.9,14.6,23.7,14.6 - 23.7
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,21.2,15.5,27.9,15.5 - 27.9
Symptoms of Depressive Disorder,By State,Florida,Florida,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,23.9,20.6,27.5,20.6 - 27.5
Symptoms of Depressive Disorder,By State,Georgia,Georgia,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,23.5,19.7,27.6,19.7 - 27.6
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,22.5,18,27.6,18.0 - 27.6
Symptoms of Depressive Disorder,By State,Idaho,Idaho,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,17.8,14.2,22,14.2 - 22.0
Symptoms of Depressive Disorder,By State,Illinois,Illinois,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,20.3,17,24,17.0 - 24.0
Symptoms of Depressive Disorder,By State,Indiana,Indiana,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,21.3,18.1,24.8,18.1 - 24.8
Symptoms of Depressive Disorder,By State,Iowa,Iowa,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,20.1,16.1,24.5,16.1 - 24.5
Symptoms of Depressive Disorder,By State,Kansas,Kansas,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,19.4,16.1,22.9,16.1 - 22.9
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,23.1,19.2,27.5,19.2 - 27.5
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,27.6,22.8,32.7,22.8 - 32.7
Symptoms of Depressive Disorder,By State,Maine,Maine,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,20,15.9,24.7,15.9 - 24.7
Symptoms of Depressive Disorder,By State,Maryland,Maryland,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,21.4,17.5,25.7,17.5 - 25.7
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,20.9,17.5,24.7,17.5 - 24.7
Symptoms of Depressive Disorder,By State,Michigan,Michigan,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,21.1,18.3,24.2,18.3 - 24.2
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,20.4,17,24.1,17.0 - 24.1
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,24.1,18.9,30,18.9 - 30.0
Symptoms of Depressive Disorder,By State,Missouri,Missouri,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,22.5,19.6,25.7,19.6 - 25.7
Symptoms of Depressive Disorder,By State,Montana,Montana,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,17.6,13.1,23,13.1 - 23.0
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,19.2,14.9,24.1,14.9 - 24.1
Symptoms of Depressive Disorder,By State,Nevada,Nevada,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,27.2,22.6,32.1,22.6 - 32.1
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,17.2,13.4,21.7,13.4 - 21.7
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,17.9,14.2,22.1,14.2 - 22.1
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,20.7,16.6,25.3,16.6 - 25.3
Symptoms of Depressive Disorder,By State,New York,New York,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,19.1,15.6,23,15.6 - 23.0
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,26.2,21.6,31.3,21.6 - 31.3
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,25.3,19.1,32.3,19.1 - 32.3
Symptoms of Depressive Disorder,By State,Ohio,Ohio,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,27.4,23.3,31.9,23.3 - 31.9
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,26.2,21.3,31.7,21.3 - 31.7
Symptoms of Depressive Disorder,By State,Oregon,Oregon,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,24.2,21.4,27.2,21.4 - 27.2
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,25.1,21.5,28.9,21.5 - 28.9
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,19.5,14.9,24.8,14.9 - 24.8
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,26.2,21.7,31,21.7 - 31.0
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,18.3,13.9,23.6,13.9 - 23.6
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,28.3,24.7,32.1,24.7 - 32.1
Symptoms of Depressive Disorder,By State,Texas,Texas,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,22.5,20,25.2,20.0 - 25.2
Symptoms of Depressive Disorder,By State,Utah,Utah,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,24.2,20.7,28,20.7 - 28.0
Symptoms of Depressive Disorder,By State,Vermont,Vermont,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,16.8,11.7,22.9,11.7 - 22.9
Symptoms of Depressive Disorder,By State,Virginia,Virginia,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,16.8,13.8,20.2,13.8 - 20.2
Symptoms of Depressive Disorder,By State,Washington,Washington,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,23.7,20.8,26.7,20.8 - 26.7
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,24.4,19.9,29.5,19.9 - 29.5
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,15.6,12.4,19.3,12.4 - 19.3
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,23.6,18.7,29.1,18.7 - 29.1
Symptoms of Anxiety Disorder,National Estimate,United States,United States,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,27.8,27.1,28.5,27.1 - 28.5
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,39.9,37.3,42.4,37.3 - 42.4
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,36.2,34.5,38.1,34.5 - 38.1
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,31.3,30,32.7,30.0 - 32.7
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,27.1,25.8,28.4,25.8 - 28.4
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,18.4,17.3,19.7,17.3 - 19.7
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,13.5,11.9,15.3,11.9 - 15.3
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,11.1,8.5,14.1,8.5 - 14.1
Symptoms of Anxiety Disorder,By Sex,United States,Male,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,23.4,22.3,24.5,22.3 - 24.5
Symptoms of Anxiety Disorder,By Sex,United States,Female,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,32,31.1,32.9,31.1 - 32.9
Symptoms of Anxiety Disorder,By Gender identity,United States,Cis-gender male,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,22.9,21.8,24,21.8 - 24.0
Symptoms of Anxiety Disorder,By Gender identity,United States,Cis-gender female,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,31.4,30.6,32.3,30.6 - 32.3
Symptoms of Anxiety Disorder,By Gender identity,United States,Transgender,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,55.3,42.3,67.8,42.3 - 67.8
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Gay or lesbian,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,43,38.7,47.4,38.7 - 47.4
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Straight,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,25.3,24.6,26,24.6 - 26.0
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Bisexual,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,51.3,47.4,55.2,47.4 - 55.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,29.8,27.4,32.3,27.4 - 32.3
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,27.5,26.8,28.2,26.8 - 28.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,36,"Aug 18 - Aug 30, 2021",8/18/21,8/30/21,28.5,26.3,30.9,26.3 - 30.9
